"","Key","Topic"
"145","borel",1
"146","charge",1
"147","∈",1
"148","ordinal",1
"149","",1
"150","formulae",1
"151","rules",1
"152","r–s",1
"153","system",1
"154","≺",1
"155","formula",1
"156","∗",1
"157","issue",1
"158","papers",1
"159","2005",1
"160","458",1
"161","address",1
"162","slovakia",1
"163","2000",1
"164","340",1
"165","quantum",1
"166","machine",1
"167","universal",1
"168","state",1
"169","machines",1
"170","finite",1
"171","classical",1
"172","hierarchy",1
"173","≤",1
"174","hierarchies",1
"175","theory",1
"176","let",1
"177","section",1
"178","fine",1
"179","aerts",1
"180","university",1
"181","information",1
"182","article",1
"183","entitled",1
"184","eeg",1
"185","components",1
"186","brain",1
"187","driving",1
"188","motor",1
"189","distracted",1
"190","sources",1
"191","component",1
"192","frontal",1
"193","individuals",1
"194","algorithm",1
"195","layout",1
"196","population",1
"197","best",1
"198","immune",1
"199","selection",1
"200","psoia",1
"201","hcpsoia",1
"202","fatigue",1
"203","mouse",1
"204","time",1
"205","two",1
"206","performance",1
"207","mental",1
"208","distance",1
"209","work",1
"210","proposed",1
"211","hashing",1
"212","paper",1
"213","feature",1
"214","authors",1
"215","features",1
"216","neurocomputing",1
"217","bci",1
"218","signals",1
"219","electrodes",1
"220","used",1
"221","control",1
"222","applications",1
"223","interface",1
"224","detection",1
"225","pedestrian",1
"226","ieee",1
"227","tracking",1
"228","proceedings",1
"229","human",1
"230","vision",1
"231","category",1
"232","number",1
"233","recommender",1
"234","accuracy",1
"235","vector",1
"236","based",1
"237","conference",1
"238","conferences",1
"239","citescore",1
"240","top",1
"241","international",1
"242","acm",1
"243","journals",1
"244","symposium",1
"245","models",1
"246","bioinformatics",1
"247","workshop",1
"248","challenges",1
"249","computational",1
"250","methods",1
"251","modelling",1
"252","2014",1
"253","2015",1
"254","research",1
"255","scientific",1
"256","education",1
"257","ontology",1
"258","chuprina",1
"259","scientists",1
"260","students",1
"261","skills",1
"262","gesture",1
"263","hand",1
"264","recognition",1
"265","image",1
"266","gestures",1
"267","background",1
"268","2017",1
"269","twine",1
"270","language",1
"271","using",1
"272","framework",1
"273","method",1
"274","rpa",1
"275","2019",1
"276","–",1
"277","nacelle",1
"278","construction",1
"279","wing",1
"280","",1
"281","review",2
"282","organic",2
"283","book",2
"284","synthesis",2
"285","catalyst",2
"286","reaction",2
"287","compd",2
"288","compounds",2
"289","reactions",2
"290","catalysis",2
"291","acid",2
"292","redn",2
"293","cleavage",2
"294","phase",2
"295","natural",2
"296","complex",2
"297","vol",2
"298","slide",2
"299","synthetic",2
"300","methods",2
"301","metal",2
"302","laboratory",2
"303","transfer",2
"304","substitution",2
"305","textbook",2
"306","reagent",2
"307","handbook",2
"308","prepn",2
"309","transition",2
"310","new",2
"311","work",2
"312","group",2
"313","structure",2
"314","addn",2
"315","acids",2
"316","selective",2
"317","enzyme",2
"318","reagents",2
"319","syntheses",2
"320","techniques",2
"321","agent",2
"322","exchange",2
"323","cassette",2
"324","system",2
"325","application",2
"326","chemistry",2
"327","chem",2
"328","ketone",2
"329","carbonyl",2
"330","hydrogenation",2
"331","ed",2
"332","ester",2
"333","aldehyde",2
"334","chloride",2
"335","beilstein",2
"336","olefin",2
"337","carbon",2
"338","oxide",2
"339","Pt",2
"340","As",2
"341","halide",2
"342","sulfur",2
"343","polymer",2
"344","esters",2
"345","fluorination",2
"346","thiol",2
"347","isomerization",2
"348","carboxylic",2
"349","alkene",2
"350","catalytic",2
"351","oxidative",2
"352","alkyl",2
"353","allylic",2
"354","asym",2
"355","carbonylation",2
"356","alumina",2
"357","amine",2
"358","oxidation",2
"359","ether",2
"360","ylide",2
"361","epoxidn",2
"362","homologation",2
"363","aldehydes",2
"364","ketones",2
"365","cyclization",2
"366","amino",2
"367","cyclic",2
"368","anion",2
"369","vanadium",2
"370","rhodium",2
"371","triphase",2
"372","catalyzed",2
"373","S",2
"374","hydrocarbon",2
"375","kinetics",2
"376","derivatives",2
"377","condensation",2
"378","salt",2
"379","purifn",2
"380","clompd",2
"381","crystal",2
"382","labeled",2
"383","presence",2
"384","ring",2
"385","phenyl",2
"386","alkylation",2
"387","benzene",2
"388","phenol",2
"389","N",2
"390","aryl",2
"391","arom",2
"392","substituted",2
"393","aromatic",2
"394","P",2
"395","herbicide",2
"396","xylene",2
"397","alpha",2
"398","aniline",2
"399","methyl",2
"400","O",2
"401","nitro",2
"402","benzyl",2
"403","beta",2
"404","hydroxy",2
"405","rearrangement",2
"406","toluene",2
"407","sulfide",2
"408","chloro",2
"409","preparation",2
"410","insecticide",2
"411","fungicide",2
"412","chlorination",2
"413","diphenyl",2
"414","anhydride",2
"415","oxime",2
"416","antiinflamatory",2
"417","styrene",2
"418","dimethyl",2
"419","phenoxy",2
"420","deriv",2
"421","cresol",2
"422","alloy",2
"423","corrosion",2
"424","coating",2
"425","welding",2
"426","iron",2
"427","steel",2
"428","property",2
"429","fatigue",2
"430","deformation",2
"431","properties",2
"432","metals",2
"433","heat",2
"434","casting",2
"435","stress",2
"436","composite",2
"437","surface",2
"438","powder",2
"439","high",2
"440","electron",2
"441","treatment",2
"442","strength",2
"443","resistance",2
"444","temperature",2
"445","fracture",2
"446","friction",2
"447","creep",2
"448","diffusion",2
"449","wear",2
"450","materials",2
"451","grain",2
"452","internal",2
"453","mold",2
"454","film",2
"455","brass",2
"456","thermal",2
"457","resistant",2
"458","hardening",2
"459","crack",2
"460","aging",2
"461","cast",2
"462","melting",2
"463","wire",2
"464","dislocation",2
"465","tool",2
"466","mechanical",2
"467","temp",2
"468","transformation",2
"469","growth",2
"470","pressure",2
"471","solidicaton",2
"472","formation",2
"473","molten",2
"474","rolling",2
"475","low",2
"476","melt",2
"477","metallurgy",2
"478","cutting",2
"479","aluminum",2
"480","nickel",2
"481","copper",2
"482","titanium",2
"483","alloys",2
"484","molybdenum",2
"485","tungsten",2
"486","cobalt",2
"487","chromium",2
"488","carbide",2
"489","niobium",2
"490","zinc",2
"491","silicon",2
"492","zirconium",2
"493","silver",2
"494","hydrogen",2
"495","magnesium",2
"496","lead",2
"497","eutectic",2
"498","gold",2
"499","oxidn",2
"500","superalloy",2
"501","elec",2
"502","tantalum",2
"503","manganese",2
"504","boron",2
"505","weld",2
"506","sintering",2
"507","plastic",2
"508","uranium",2
"509","bronze",2
"510","plasma",2
"511","proton",2
"512","neutron",2
"513","molecular",2
"514","",2
"515","actin",2
"516","k336i",2
"517","cofilin",2
"518","filaments",2
"519","myosin",2
"520","fig",2
"521","protein",2
"522","binding",2
"523","cofilaments",2
"524","atp",2
"525","alloy",3
"526","antiferromagnetism",3
"527","compound",3
"528","crystal",3
"529","dislocation",3
"530","doping",3
"531","electricity",3
"532","electron",3
"533","exchange-interaction",3
"534","exciton",3
"535","fermion",3
"536","ferrimagnetism",3
"537","ferroelectricity",3
"538","helium",3
"539","impurity",3
"540","laser",3
"541","lattice",3
"542","magnetism",3
"543","metal",3
"544","nanostructured-material",3
"545","optics",3
"546","organic-compound",3
"547","paramagnetism",3
"548","phonon",3
"549","plasma physics",3
"550","plasmon",3
"551","quantum physics",3
"552","semiconductor",3
"553","superconductivity",3
"554","surface physics",3
"555","physics",3
"556","force",3
"557","propulsion",3
"558","thin film",3
"559","tunneling",3
"560","x-ray",3
"561","bose-einstein-condensation",3
"562","specific-heat",3
"563","conductivity, thermal",3
"564","band-structure",3
"565","quasiparticle",3
"566","particle",3
"567","argon",3
"568","flux-pinning",3
"569","cryogenics",3
"570","fermi-level",3
"571","fullerene",3
"572","fermi-surface",3
"573","boson-system",3
"574","fermi-liquid",3
"575","atmospheric science",3
"576","biomedical",3
"577","cellular biophysics",3
"578","circuit theory",3
"579","image proessing",3
"580","nonlinear dynamics",3
"581","numerical analysis",3
"582","pattern formation",3
"583","polymer",3
"584","surface science",3
"585","telecommunication",3
"586","acoustics",3
"587","astrophysical plasma",3
"588","cyclotron",3
"589","dielectric function",3
"590","dispersion",3
"591","doppler effect",3
"592","electromagnetism",3
"593","microwave",3
"594","physicists",3
"595","",3
"596","density",3
"597","computational",3
"598","theory",3
"599","energy",3
"600","mixed",3
"601","valence",3
"602","must",3
"603","charge",3
"604","state",3
"605","field",3
"606","recording",3
"607","fig",3
"608","model",3
"609","process",3
"610","system",3
"611","applied",3
"612","curve",3
"613","media",3
"614","magnetic",3
"615","particles",3
"616","fluids",3
"617","cluster",3
"618","ray",3
"619","fluid",3
"620","formation",3
"621","compounds",3
"622","materials",3
"623","magnet",3
"624","khj",3
"625","structure",3
"626","anisotropy",3
"627","buschow",3
"628","type",3
"629","ionic",3
"630","phase",3
"631","ferrofluid",3
"632","separation",3
"633","strength",3
"634","surface",3
"635","soft",3
"636","frequency",3
"637","elastomers",3
"638","spectra",3
"639","complex",3
"640","permeability",3
"641","sputtering",3
"642","substrate",3
"643","target",3
"644","films",3
"645","deposition",3
"646","high",3
"647","plasma",3
"648","ion",3
"649","induction",3
"650","sheets",3
"651","losses",3
"652","direction",3
"653","properties",3
"654","sheet",3
"655","phys",3
"656","decay",3
"657","nuclear",3
"658","rev",3
"659","neutron",3
"660","can",3
"661","value",3
"662","values",3
"663","−",3
"664","measurements",3
"665","stripes",3
"666","superconducting",3
"667","region",3
"668","diagram",3
"669","striped",3
"670","aficaf",3
"671","sul",3
"672","ﬁeld",3
"673","perpendicular",3
"674","saturation",3
"675","current",3
"676","head",3
"677","pole",3
"678","ðtþ",3
"679","magnets",3
"680","main",3
"681","volume",3
"682","reversal",3
"683","temperature",3
"684","magnetization",3
"685","critical",3
"686","dynamic",3
"687","dynamics",3
"688","murtazaev",3
"689","real",3
"690","models",3
"691","hysteresis",3
"692","units",3
"693","inclination",3
"694","textbooks",3
"695","magn",3
"696","dagotto",3
"697","clustered",3
"698","states",3
"699","also",3
"700","gpa",3
"701","pressure",3
"702","ucoal",3
"703","susceptibility",3
"704","ferromagnetic",3
"705","lmaf",3
"706","si2",3
"707","experiments",3
"708","spin",3
"709","torque",3
"710","transfer",3
"711","layer",3
"712","composite",3
"713","coefﬁcient",3
"714","composites",3
"715","magnetoelectric",3
"716","electric",3
"717","coupling",3
"718","rixs",3
"719","kondo",3
"720","xray",3
"721","external",3
"722","ﬁlms",3
"723","thin",3
"724","results",3
"725","2016",3
"726","electrons",3
"727","free",3
"728","quantum",3
"729","samples",3
"730","scattering",3
"731","mis",3
"732","shown",3
"733","due",3
"734","weak",3
"735","grain",3
"736","diameter",3
"737","h",3
"738","film",3
"739","size",3
"740","gbs",3
"741","transport",3
"742","gross",3
"743","large",3
"744","ivcs",3
"745","manganites",3
"746","fuel",3
"747","pebble",3
"748","pangu",3
"749","code",3
"750","calculation",3
"751","cycle",3
"752","cross",3
"753","pebblebed",3
"754","pebbles",3
"755","vsop",3
"756","research",3
"757","condensed",3
"758","matter",3
"759","ibr2",3
"760","neutrons",3
"761","reactor",3
"762","laboratory",3
"763","niche",3
"764","active",3
"765","systems",3
"766","variational",3
"767","internal",3
